route,proposed_robots,proposed_sitemap,status
/,"index,follow",include,owner-approval-required
/about/,"index,follow",include,owner-approval-required
/contact/,"index,follow",include,owner-approval-required
/electrical-faults/,"noindex,follow",omit,owner-approval-required
/electrical-faults/burning-smell-from-outlet/,"noindex,follow",omit,owner-approval-required
/electrical-faults/burning-smell-from-switchboard/,"noindex,follow",omit,owner-approval-required
/electrical-faults/circuit-breaker-keeps-tripping/,"noindex,follow",omit,owner-approval-required
/electrical-faults/electric-shock-from-outlet/,"noindex,follow",omit,owner-approval-required
/electrical-faults/hot-power-point/,"noindex,follow",omit,owner-approval-required
/electrical-faults/lights-flickering/,"noindex,follow",omit,owner-approval-required
/electrical-faults/no-power-in-one-room/,"noindex,follow",omit,owner-approval-required
/electrical-faults/no-power-to-house/,"noindex,follow",omit,owner-approval-required
/electrical-faults/power-outage-after-storm/,"noindex,follow",omit,owner-approval-required
/electrical-faults/power-point-sparking/,"noindex,follow",omit,owner-approval-required
/electrical-faults/power-surge-damage/,"noindex,follow",omit,owner-approval-required
/electrical-faults/rcd-trips-when-raining/,"noindex,follow",omit,owner-approval-required
/electrical-faults/safety-switch-keeps-tripping/,"noindex,follow",omit,owner-approval-required
/electrical-faults/safety-switch-trips-at-night/,"noindex,follow",omit,owner-approval-required
/electrical-faults/smoke-from-electrical-panel/,"noindex,follow",omit,owner-approval-required
/emergency-electrician-sydney/,"noindex,follow",omit,owner-approval-required
/level-2-electrician-sydney/,"noindex,follow",omit,owner-approval-required
/privacy-policy/,"noindex,follow",omit,owner-approval-required
/service-areas/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/berambing/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/blaxland/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/bullaburra/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/faulconbridge/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/glenbrook/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/hawkesbury-heights/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/hazelbrook/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/katoomba/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/lapstone/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/lawson/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/leura/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/linden/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/mount-riverview/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/springwood/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/sun-valley/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/valley-heights/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/warrimoo/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/wentworth-falls/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/winmalee/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/woodford/,"noindex,follow",omit,owner-approval-required
/service-areas/blue-mountains/blue-mountains/yellow-rock/,"noindex,follow",omit,owner-approval-required
/service-areas/canterbury-bankstown-and-inner-south-west/,"noindex,follow",omit,owner-approval-required
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,"noindex,follow",omit,owner-approval-required
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bankstown/,"noindex,follow",omit,owner-approval-required
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bass-hill/,"noindex,follow",omit,owner-approval-required
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belfield/,"noindex,follow",omit,owner-approval-required
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belmore/,"noindex,follow",omit,owner-approval-required
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/beverly-hills/,"noindex,follow",omit,owner-approval-required
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/birrong/,"noindex,follow",omit,owner-approval-required
