region,area,suburb,postcode,route,html file exists yes/no,title,meta description,h1,visible word count,phone CTA present yes/no,quote CTA present yes/no,emergency wording present yes/no,emergency electrician wording present yes/no,Level 2 wording present yes/no,Level 2 electrician wording present yes/no,general electrical wording present yes/no,switchboard wording present yes/no,response-time wording present yes/no,correct response-time wording yes/no,core or greater region classification,expected response time wording,actual response time wording,ASP wording present yes/no,Sydney and surrounding regions wording present yes/no,internal links count,FAQ count,stale strings found,risky claims found,spelling/grammar warnings,repeated phrase warnings,awkward wording warnings,notes
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Bankstown,2200,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bankstown/,yes,Electrician Bankstown 2200 | Emergency & Level 2,"Need electrical help in Bankstown 2200? Evaready Electrical helps with urgent electrical faults, switchboard upgrades, lighting, power, data cabling.",Electrician Bankstown 2200,2538,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Bankstown, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Bass Hill,2197,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bass-hill/,yes,Electrician Bass Hill 2197 | Emergency & Level 2,"Need an electrician in Bass Hill? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Bass Hill 2197,2642,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for home power loss, tripping safety switches, burning smells, hot outlets, storm-damaged outdoor power and water-affected electrical equipment in Bass Hill, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Belfield,2191,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belfield/,yes,Electrician Belfield 2191 | Emergency & Level 2,"Need an electrician in Belfield? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Belfield 2191,2560,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for unit power loss, shared circuit tripping, burning smells, hot outlets, shopfront faults and unsafe common-area electrical issues in Belfield, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Belmore,2192,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belmore/,yes,Electrician Belmore 2192 | Emergency & Level 2,"Need electrical help in Belmore 2192? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Belmore 2192,2520,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For Belmore, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Beverly Hills,2209,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/beverly-hills/,yes,Electrician Beverly Hills 2209 | Emergency & Level 2,"Evaready helps Beverly Hills with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Beverly Hills 2209,2653,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For Beverly Hills, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for home power loss, tripping safety switches, burning smells, hot outlets, storm-damaged outdoor power and water-affected electrical equipment in Beverly Hills, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Birrong,2143,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/birrong/,yes,Electrician Birrong 2143 | Emergency & Level 2,"Need an electrician in Birrong? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Birrong 2143,2549,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Birrong, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Campsie,2194,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/campsie/,yes,Electrician Campsie 2194 | Emergency & Level 2,"Need electrical help in Campsie 2194? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Campsie 2194,2547,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for unit power loss, shared circuit tripping, burning smells, hot outlets, shopfront faults and unsafe common-area electrical issues in Campsie, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Canterbury,2193,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/canterbury/,yes,Electrician Canterbury 2193 | Emergency & Level 2,"Need electrical help in Canterbury 2193? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Canterbury 2193,2560,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for unit power loss, shared circuit tripping, burning smells, hot outlets, shopfront faults and unsafe common-area electrical issues in Canterbury, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Chester Hill,2162,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/chester-hill/,yes,Electrician Chester Hill 2162 | Emergency & Level 2,"Evaready helps Chester Hill with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Chester Hill 2162,2628,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Chester Hill, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Clemton Park,2206,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/clemton-park/,yes,Electrician Clemton Park 2206 | Emergency & Level 2,"Evaready helps Clemton Park with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Clemton Park 2206,2665,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for unit power loss, shared circuit tripping, burning smells, hot outlets, shopfront faults and unsafe common-area electrical issues in Clemton Park, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Condell Park,2200,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/condell-park/,yes,Electrician Condell Park 2200 | Emergency & Level 2,"Need an electrician in Condell Park? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Condell Park 2200,2636,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Condell Park, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Earlwood,2206,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/earlwood/,yes,Electrician Earlwood 2206 | Emergency & Level 2,"Need an electrician in Earlwood? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Earlwood 2206,2627,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for home power loss, tripping safety switches, burning smells, hot outlets, storm-damaged outdoor power and water-affected electrical equipment in Earlwood, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,East Hills,2213,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/east-hills/,yes,Electrician East Hills 2213 | Emergency & Level 2,"Need an electrician in East Hills? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician East Hills 2213,2633,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for home power loss, tripping safety switches, burning smells, hot outlets, storm-damaged outdoor power and water-affected electrical equipment in East Hills, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
