page,viewport,size,status,innerWidth,scrollWidth,overflow,headerVisible,logoVisible,callVisible,quoteVisible,h1Visible,callCount,quoteCount,realBlack,note
/,mobile-390,390x844,200,390,390,false,true,true,true,true,true,13,10,,PASS
/emergency-electrician-sydney/,mobile-390,390x844,200,390,390,false,true,true,true,true,true,14,10,,PASS
/level-2-electrician-sydney/,mobile-390,390x844,200,390,390,false,true,true,true,true,true,13,11,,PASS
/services/,mobile-390,390x844,200,390,390,false,true,true,true,true,true,6,6,,PASS
/service-areas/,mobile-390,390x844,200,390,390,false,true,true,true,true,true,6,6,,PASS
/services/hot-water-system-electrician-sydney/,mobile-390,390x844,200,390,390,false,true,true,true,true,true,14,20,,PASS
/services/split-system-air-conditioning-sydney/,mobile-390,390x844,200,390,390,false,true,true,true,true,true,14,26,,PASS
/privacy-policy/,mobile-390,390x844,200,390,390,false,true,true,true,true,true,5,4,,PASS
/terms/,mobile-390,390x844,200,390,390,false,true,true,true,true,true,6,4,,PASS
/,mobile-430,430x932,200,430,430,false,true,true,true,true,true,13,10,,PASS
/emergency-electrician-sydney/,mobile-430,430x932,200,430,430,false,true,true,true,true,true,14,10,,PASS
/level-2-electrician-sydney/,mobile-430,430x932,200,430,430,false,true,true,true,true,true,13,11,,PASS
/services/,mobile-430,430x932,200,430,430,false,true,true,true,true,true,6,6,,PASS
/service-areas/,mobile-430,430x932,200,430,430,false,true,true,true,true,true,6,6,,PASS
/services/hot-water-system-electrician-sydney/,mobile-430,430x932,200,430,430,false,true,true,true,true,true,14,20,,PASS
/services/split-system-air-conditioning-sydney/,mobile-430,430x932,200,430,430,false,true,true,true,true,true,14,26,,PASS
/privacy-policy/,mobile-430,430x932,200,430,430,false,true,true,true,true,true,5,4,,PASS
/terms/,mobile-430,430x932,200,430,430,false,true,true,true,true,true,6,4,,PASS
/,tablet-820,820x1180,200,820,820,false,true,true,true,true,true,13,10,,PASS
/emergency-electrician-sydney/,tablet-820,820x1180,200,820,820,false,true,true,true,true,true,14,10,,PASS
/level-2-electrician-sydney/,tablet-820,820x1180,200,820,820,false,true,true,true,true,true,13,11,,PASS
/services/,tablet-820,820x1180,200,820,820,false,true,true,true,true,true,6,6,,PASS
/service-areas/,tablet-820,820x1180,200,820,820,false,true,true,true,true,true,6,6,,PASS
/services/hot-water-system-electrician-sydney/,tablet-820,820x1180,200,820,820,false,true,true,true,true,true,14,20,,PASS
/services/split-system-air-conditioning-sydney/,tablet-820,820x1180,200,820,820,false,true,true,true,true,true,14,26,,PASS
/privacy-policy/,tablet-820,820x1180,200,820,820,false,true,true,true,true,true,5,4,,PASS
/terms/,tablet-820,820x1180,200,820,820,false,true,true,true,true,true,6,4,,PASS
/,laptop-1366,1366x768,200,1366,1366,false,true,true,true,true,true,13,10,,PASS
/emergency-electrician-sydney/,laptop-1366,1366x768,200,1366,1366,false,true,true,true,true,true,14,10,,PASS
/level-2-electrician-sydney/,laptop-1366,1366x768,200,1366,1366,false,true,true,true,true,true,13,11,,PASS
/services/,laptop-1366,1366x768,200,1366,1366,false,true,true,true,true,true,6,6,,PASS
/service-areas/,laptop-1366,1366x768,200,1366,1366,false,true,true,true,true,true,6,6,,PASS
/services/hot-water-system-electrician-sydney/,laptop-1366,1366x768,200,1366,1366,false,true,true,true,true,true,14,20,,PASS
/services/split-system-air-conditioning-sydney/,laptop-1366,1366x768,200,1366,1366,false,true,true,true,true,true,14,26,,PASS
/privacy-policy/,laptop-1366,1366x768,200,1366,1366,false,true,true,true,true,true,5,4,,PASS
/terms/,laptop-1366,1366x768,200,1366,1366,false,true,true,true,true,true,6,4,,PASS
/,desktop-1920,1920x1080,200,1920,1920,false,true,true,true,true,true,13,10,,PASS
/emergency-electrician-sydney/,desktop-1920,1920x1080,200,1920,1920,false,true,true,true,true,true,14,10,,PASS
/level-2-electrician-sydney/,desktop-1920,1920x1080,200,1920,1920,false,true,true,true,true,true,13,11,,PASS
/services/,desktop-1920,1920x1080,200,1920,1920,false,true,true,true,true,true,6,6,,PASS
/service-areas/,desktop-1920,1920x1080,200,1920,1920,false,true,true,true,true,true,6,6,,PASS
/services/hot-water-system-electrician-sydney/,desktop-1920,1920x1080,200,1920,1920,false,true,true,true,true,true,14,20,,PASS
/services/split-system-air-conditioning-sydney/,desktop-1920,1920x1080,200,1920,1920,false,true,true,true,true,true,14,26,,PASS
/privacy-policy/,desktop-1920,1920x1080,200,1920,1920,false,true,true,true,true,true,5,4,,PASS
/terms/,desktop-1920,1920x1080,200,1920,1920,false,true,true,true,true,true,6,4,,PASS
