phase,profile,route,routeLabel,runs,lighthouseVersion,performanceScore,accessibilityScore,bestPracticesScore,seoScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,domElements,rawHtmlBytes,gzipHtmlBytes,brotliHtmlBytes,cssResourceBytes,cssTransferBytes,jsResourceBytes,jsTransferBytes,imageResourceBytes,imageTransferBytes,totalResourceBytes,totalTransferBytes,requestCount,consoleErrorScore,lcpElement,lcpResourceUrl,ttfbMs,resourceLoadDelayMs,resourceLoadDurationMs,elementRenderDelayMs,observedLcpMs,observedTtfbMs,observedResourceLoadDelayMs,observedResourceLoadDurationMs,observedElementRenderDelayMs,firstPartyFailureCount,thirdPartyFailureCount,consoleErrorCount,cliCleanupWarnings
baseline-4a800,mobile,/,Homepage,3,13.4.1,81,100,77,100,1359,5034,0,9,1359,949,234222,30095,21573,481287,61514,961333,305328,538708,541225,2324762,947389,35,1,body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image,http://127.0.0.1:4190/evaready-electrical/images/performance/evaready-service-van-768.webp,455,459,629,3395,102,3.8,4.9,3.7,88.8,0,0,0,0
baseline-4a800,mobile,/services/,Services,3,13.4.1,81,100,77,100,1359,5033,0,8,1359,1442,426055,42477,29045,481287,61514,961337,305341,538708,541225,2516599,954874,35,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4190/evaready-electrical/images/performance/evaready-service-van-768.webp,454,477,627,3475,111,4.6,5.6,3.7,96.7,0,0,0,0
baseline-4a800,mobile,/service-areas/,Service Areas,3,13.4.1,83,100,77,100,1361,4661,0,11,1361,1041,304446,31952,22983,481287,61514,967763,307844,472680,474289,2335388,884379,32,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4190/evaready-electrical/images/performance/evaready-service-van-768.webp,455,459,625,3147,100,4.1,5.4,3.9,86.7,0,0,0,0
baseline-4a800,mobile,/emergency-electrician-sydney/,Emergency Electrician Sydney,3,13.4.1,81,100,77,100,1508,5033,0,9,1508,1198,333370,37923,25142,495827,64124,961377,305340,538708,541225,2438494,953580,36,1,body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image,http://127.0.0.1:4190/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,565,3559,113,3.9,5.1,3.7,100.5,0,0,0,0
baseline-4a800,mobile,/level-2-electrician-sydney/,Level 2 Electrician Sydney,3,13.4.1,84,100,77,100,1212,4587,0,10,1212,1153,289767,32187,21894,481287,61514,961335,305334,472680,474289,2314281,880780,31,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4190/evaready-electrical/images/performance/evaready-service-van-768.webp,456,456,570,3133,106,4,5,3.7,92.5,0,0,0,0
baseline-4a800,mobile,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,3,13.4.1,82,100,77,100,1358,4884,0,8,1358,1235,308895,34677,23962,481287,61514,961379,305338,538708,541225,2399481,949788,35,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4190/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,574,3414,107,3.9,4.9,3.6,94.7,0,0,0,0
baseline-4a800,mobile,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,3,13.4.1,84,100,77,100,1356,4584,0,12,1356,854,200498,24388,18077,481287,61514,961403,305358,514526,516362,2307948,926830,35,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero,,454,1159,1333,1652,115,3.6,20.9,8.7,81.2,0,0,0,0
baseline-4a800,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,3,13.4.1,82,100,77,100,1359,4884,0,11,1359,878,240406,27748,19928,481287,61514,967889,307868,472680,474289,2358244,892017,35,1,section.brand-internal-hero > div.ev-hero-grid > div.internal-hero-copy-panel > h1.text-3xl,,455,0,0,4429,92,3.6,0,0,88,0,0,0,0
baseline-4a800,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,3,13.4.1,82,100,77,100,1209,4884,0,13,1209,1218,310842,29988,20521,481287,61514,967911,307855,472680,474289,2492354,901786,38,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4190/evaready-electrical/images/performance/evaready-service-van-768.webp,455,474,645,3250,97,3.9,5,3.9,83.5,0,0,0,0
baseline-4a800,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,3,13.4.1,84,100,77,100,1360,4585,0,9,1360,1000,254479,28258,19955,481287,61514,967933,307875,472680,474289,2530269,910712,41,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4190/evaready-electrical/images/performance/evaready-service-van-768.webp,455,455,583,3092,96,3.5,4.8,3.7,83.7,0,0,0,0
