"profile","route","routeLabel","performanceBefore","performanceAfter","performanceDelta","lcpBeforeMs","lcpAfterMs","lcpDeltaMs","clsBefore","clsAfter","tbtBeforeMs","tbtAfterMs","transferBeforeBytes","transferAfterBytes","transferDeltaBytes","requestCountBefore","requestCountAfter","firstPartyFailuresAfter","thirdPartyFailuresAfter","consoleErrorsAfter","lcpElementAfter","lcpResourceAfter"
"mobile","/","Homepage","81","82","1","5034","4883","-151","0","0","9","9","947389","947392","3","35","35","0","0","0","body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image","http://127.0.0.1:4192/evaready-electrical/images/performance/evaready-service-van-768.webp"
"mobile","/services/","Services","81","81","0","5033","5035","2","0","0","8","8","954874","954889","15","35","35","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image","http://127.0.0.1:4192/evaready-electrical/images/performance/evaready-service-van-768.webp"
"mobile","/service-areas/","Service Areas","83","83","0","4661","4660","-1","0","0","11","8","884379","884383","4","32","32","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image","http://127.0.0.1:4192/evaready-electrical/images/performance/evaready-service-van-768.webp"
"mobile","/emergency-electrician-sydney/","Emergency Electrician Sydney","81","81","0","5033","5108","75","0","0","9","7","953580","953557","-23","36","36","0","0","0","body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image","http://127.0.0.1:4192/evaready-electrical/images/performance/evaready-service-van-768.webp"
"mobile","/level-2-electrician-sydney/","Level 2 Electrician Sydney","84","82","-2","4587","4810","223","0","0","10","10","880780","880803","23","31","31","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image","http://127.0.0.1:4192/evaready-electrical/images/performance/evaready-service-van-768.webp"
"mobile","/services/switchboard-upgrades-sydney/","Switchboard Upgrades Sydney","82","81","-1","4884","5107","223","0","0","8","10","949788","949763","-25","35","35","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image","http://127.0.0.1:4192/evaready-electrical/images/performance/evaready-service-van-768.webp"
"mobile","/electrical-faults/no-power-in-one-room/","No Power In One Room fault guide","84","83","-1","4584","4733","149","0","0","12","11","926830","926852","22","35","35","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero",""
"mobile","/service-areas/canterbury-bankstown-and-inner-south-west/","Canterbury-Bankstown region","82","82","0","4884","4809","-75","0","0","11","8","892017","892022","5","35","35","0","0","0","section.brand-internal-hero > div.ev-hero-grid > div.internal-hero-copy-panel > h1.text-3xl",""
"mobile","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/","Canterbury-Bankstown area","82","82","0","4884","4808","-76","0","0","13","8","901786","901795","9","38","38","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image","http://127.0.0.1:4192/evaready-electrical/images/performance/evaready-service-van-768.webp"
"mobile","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","Panania suburb","84","84","0","4585","4584","-1","0","0","9","8","910712","910734","22","41","41","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image","http://127.0.0.1:4192/evaready-electrical/images/performance/evaready-service-van-768.webp"
"desktop","/","Homepage","96","96","0","1388","1387","-1","0","0","0","0","1570024","1570060","36","65","65","0","0","0","body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image",""
"desktop","/services/","Services","96","96","0","1388","1387","-1","0","0","0","0","1577521","1577555","34","65","65","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image",""
"desktop","/service-areas/","Service Areas","96","96","0","1347","1348","1","0","0","0","0","1504526","1504546","20","61","61","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image",""
"desktop","/emergency-electrician-sydney/","Emergency Electrician Sydney","96","96","0","1387","1387","0","0","0","0","0","1573608","1573617","9","65","65","0","0","0","body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image",""
"desktop","/level-2-electrician-sydney/","Level 2 Electrician Sydney","97","97","0","1308","1308","0","0","0","0","0","1503421","1503461","40","61","61","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image",""
"desktop","/services/switchboard-upgrades-sydney/","Switchboard Upgrades Sydney","96","96","0","1387","1387","0","0","0","0","0","1572437","1572443","6","65","65","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image",""
"desktop","/electrical-faults/no-power-in-one-room/","No Power In One Room fault guide","96","96","0","1432","1370","-62","0","0","0","0","1507402","1507440","38","64","64","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero",""
"desktop","/service-areas/canterbury-bankstown-and-inner-south-west/","Canterbury-Bankstown region","96","96","0","1349","1347","-2","0","0","0","0","1501489","1501515","26","61","61","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image",""
"desktop","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/","Canterbury-Bankstown area","96","96","0","1348","1347","-1","0","0","0","0","1511254","1511289","35","64","64","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image",""
"desktop","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","Panania suburb","97","97","0","1308","1308","0","0","0","0","0","1520183","1520223","40","67","67","0","0","0","body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image",""
