page,route,viewport,status,fail,bodyOverflow,badCards,ctaFailures,stickyFailure,h1Count
"home","/","320x568",200,false,0,0,0,0,1
"home","/","360x800",200,false,0,0,0,0,1
"home","/","375x812",200,false,0,0,0,0,1
"home","/","390x844",200,false,0,0,0,0,1
"home","/","412x915",200,false,0,0,0,0,1
"home","/","430x932",200,false,0,0,0,0,1
"home","/","768x1024",200,false,0,0,0,0,1
"home","/","820x1180",200,false,0,0,0,0,1
"home","/","834x1194",200,false,0,0,0,0,1
"home","/","1024x1366",200,false,0,0,0,0,1
"home","/","1024x768",200,false,0,0,0,0,1
"home","/","1280x720",200,false,0,0,0,0,1
"home","/","1366x768",200,false,0,0,0,0,1
"home","/","1440x900",200,false,0,0,0,0,1
"home","/","1600x900",200,false,0,0,0,0,1
"home","/","1920x1080",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","320x568",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","360x800",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","375x812",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","390x844",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","412x915",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","430x932",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","768x1024",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","820x1180",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","834x1194",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","1024x1366",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","1024x768",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","1280x720",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","1366x768",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","1440x900",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","1600x900",200,false,0,0,0,0,1
"emergency","/emergency-electrician-sydney/","1920x1080",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","320x568",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","360x800",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","375x812",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","390x844",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","412x915",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","430x932",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","768x1024",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","820x1180",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","834x1194",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","1024x1366",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","1024x768",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","1280x720",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","1366x768",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","1440x900",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","1600x900",200,false,0,0,0,0,1
"level2","/level-2-electrician-sydney/","1920x1080",200,false,0,0,0,0,1
"services","/services/","320x568",200,false,0,0,0,0,1
"services","/services/","360x800",200,false,0,0,0,0,1
"services","/services/","375x812",200,false,0,0,0,0,1
"services","/services/","390x844",200,false,0,0,0,0,1
"services","/services/","412x915",200,false,0,0,0,0,1
"services","/services/","430x932",200,false,0,0,0,0,1
"services","/services/","768x1024",200,false,0,0,0,0,1
"services","/services/","820x1180",200,false,0,0,0,0,1
"services","/services/","834x1194",200,false,0,0,0,0,1
"services","/services/","1024x1366",200,false,0,0,0,0,1
"services","/services/","1024x768",200,false,0,0,0,0,1
"services","/services/","1280x720",200,false,0,0,0,0,1
"services","/services/","1366x768",200,false,0,0,0,0,1
"services","/services/","1440x900",200,false,0,0,0,0,1
"services","/services/","1600x900",200,false,0,0,0,0,1
"services","/services/","1920x1080",200,false,0,0,0,0,1
"service-areas","/service-areas/","320x568",200,false,0,0,0,0,1
"service-areas","/service-areas/","360x800",200,false,0,0,0,0,1
"service-areas","/service-areas/","375x812",200,false,0,0,0,0,1
"service-areas","/service-areas/","390x844",200,false,0,0,0,0,1
"service-areas","/service-areas/","412x915",200,false,0,0,0,0,1
