route,viewport,httpStatus,cssLoaded,sealPresent,sealHuge,sealOverflow,carouselPresent,carouselOverflow,redSurfaceCount,callLooksRed,quoteLooksBlue,redAccentPresent,horizontalOverflow,stickyOverFooter,googleAdsPresent,phoneTrackingPresent,quoteTrackingPresent,fakeSchemaApiPresent,issues,screenshot
/,360x800,200,true,true,false,false,false,false,69,true,true,true,false,false,true,true,true,false,,
/,390x844,200,true,true,false,false,false,false,69,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\home-390x844.png
/,412x915,200,true,true,false,false,false,false,69,true,true,true,false,false,true,true,true,false,,
/,430x932,200,true,true,false,false,false,false,69,true,true,true,false,false,true,true,true,false,,
/,768x1024,200,true,true,false,false,false,false,69,true,true,true,false,false,true,true,true,false,,
/,820x1180,200,true,true,false,false,false,false,69,true,true,true,false,false,true,true,true,false,,
/,1024x768,200,true,true,false,false,false,false,69,true,true,true,false,false,true,true,true,false,,
/,1366x768,200,true,true,false,false,false,false,69,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\home-1366x768.png
/,1440x900,200,true,true,false,false,false,false,69,true,true,true,false,false,true,true,true,false,,
/,1920x1080,200,true,true,false,false,false,false,69,true,true,true,false,false,true,true,true,false,,
/about/,360x800,200,true,true,false,false,false,false,39,true,true,true,false,false,true,true,true,false,,
/about/,390x844,200,true,true,false,false,false,false,39,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\about-390x844.png
/about/,412x915,200,true,true,false,false,false,false,39,true,true,true,false,false,true,true,true,false,,
/about/,430x932,200,true,true,false,false,false,false,39,true,true,true,false,false,true,true,true,false,,
/about/,768x1024,200,true,true,false,false,false,false,39,true,true,true,false,false,true,true,true,false,,
/about/,820x1180,200,true,true,false,false,false,false,39,true,true,true,false,false,true,true,true,false,,
/about/,1024x768,200,true,true,false,false,false,false,39,true,true,true,false,false,true,true,true,false,,
/about/,1366x768,200,true,true,false,false,false,false,39,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\about-1366x768.png
/about/,1440x900,200,true,true,false,false,false,false,39,true,true,true,false,false,true,true,true,false,,
/about/,1920x1080,200,true,true,false,false,false,false,39,true,true,true,false,false,true,true,true,false,,
/emergency-electrician-sydney/,360x800,200,true,true,false,false,false,false,73,true,true,true,false,false,true,true,true,false,,
/emergency-electrician-sydney/,390x844,200,true,true,false,false,false,false,73,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\emergency-electrician-sydney-390x844.png
/emergency-electrician-sydney/,412x915,200,true,true,false,false,false,false,73,true,true,true,false,false,true,true,true,false,,
/emergency-electrician-sydney/,430x932,200,true,true,false,false,false,false,73,true,true,true,false,false,true,true,true,false,,
/emergency-electrician-sydney/,768x1024,200,true,true,false,false,false,false,76,true,true,true,false,false,true,true,true,false,,
/emergency-electrician-sydney/,820x1180,200,true,true,false,false,false,false,76,true,true,true,false,false,true,true,true,false,,
/emergency-electrician-sydney/,1024x768,200,true,true,false,false,false,false,76,true,true,true,false,false,true,true,true,false,,
/emergency-electrician-sydney/,1366x768,200,true,true,false,false,false,false,76,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\emergency-electrician-sydney-1366x768.png
/emergency-electrician-sydney/,1440x900,200,true,true,false,false,false,false,76,true,true,true,false,false,true,true,true,false,,
/emergency-electrician-sydney/,1920x1080,200,true,true,false,false,false,false,76,true,true,true,false,false,true,true,true,false,,
/level-2-electrician-sydney/,360x800,200,true,true,false,false,false,false,56,true,true,true,false,false,true,true,true,false,,
/level-2-electrician-sydney/,390x844,200,true,true,false,false,false,false,56,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\level-2-electrician-sydney-390x844.png
/level-2-electrician-sydney/,412x915,200,true,true,false,false,false,false,56,true,true,true,false,false,true,true,true,false,,
/level-2-electrician-sydney/,430x932,200,true,true,false,false,false,false,56,true,true,true,false,false,true,true,true,false,,
/level-2-electrician-sydney/,768x1024,200,true,true,false,false,false,false,59,true,true,true,false,false,true,true,true,false,,
/level-2-electrician-sydney/,820x1180,200,true,true,false,false,false,false,59,true,true,true,false,false,true,true,true,false,,
/level-2-electrician-sydney/,1024x768,200,true,true,false,false,false,false,59,true,true,true,false,false,true,true,true,false,,
/level-2-electrician-sydney/,1366x768,200,true,true,false,false,false,false,59,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\level-2-electrician-sydney-1366x768.png
/level-2-electrician-sydney/,1440x900,200,true,true,false,false,false,false,59,true,true,true,false,false,true,true,true,false,,
/level-2-electrician-sydney/,1920x1080,200,true,true,false,false,false,false,59,true,true,true,false,false,true,true,true,false,,
/services/,360x800,200,true,true,false,false,false,false,45,true,true,true,false,false,true,true,true,false,,
/services/,390x844,200,true,true,false,false,false,false,45,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\services-390x844.png
/services/,412x915,200,true,true,false,false,false,false,45,true,true,true,false,false,true,true,true,false,,
/services/,430x932,200,true,true,false,false,false,false,45,true,true,true,false,false,true,true,true,false,,
/services/,768x1024,200,true,true,false,false,false,false,45,true,true,true,false,false,true,true,true,false,,
/services/,820x1180,200,true,true,false,false,false,false,45,true,true,true,false,false,true,true,true,false,,
/services/,1024x768,200,true,true,false,false,false,false,45,true,true,true,false,false,true,true,true,false,,
/services/,1366x768,200,true,true,false,false,false,false,45,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\services-1366x768.png
/services/,1440x900,200,true,true,false,false,false,false,45,true,true,true,false,false,true,true,true,false,,
/services/,1920x1080,200,true,true,false,false,false,false,45,true,true,true,false,false,true,true,true,false,,
/services/hot-water-system-electrician-sydney/,360x800,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/services/hot-water-system-electrician-sydney/,390x844,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\services-hot-water-system-electrician-sydney-390x844.png
/services/hot-water-system-electrician-sydney/,412x915,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/services/hot-water-system-electrician-sydney/,430x932,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/services/hot-water-system-electrician-sydney/,768x1024,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/services/hot-water-system-electrician-sydney/,820x1180,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/services/hot-water-system-electrician-sydney/,1024x768,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/services/hot-water-system-electrician-sydney/,1366x768,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\services-hot-water-system-electrician-sydney-1366x768.png
/services/hot-water-system-electrician-sydney/,1440x900,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/services/hot-water-system-electrician-sydney/,1920x1080,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/services/split-system-air-conditioning-sydney/,360x800,200,true,true,false,false,false,false,80,true,true,true,false,false,true,true,true,false,,
/services/split-system-air-conditioning-sydney/,390x844,200,true,true,false,false,false,false,80,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\services-split-system-air-conditioning-sydney-390x844.png
/services/split-system-air-conditioning-sydney/,412x915,200,true,true,false,false,false,false,80,true,true,true,false,false,true,true,true,false,,
/services/split-system-air-conditioning-sydney/,430x932,200,true,true,false,false,false,false,80,true,true,true,false,false,true,true,true,false,,
/services/split-system-air-conditioning-sydney/,768x1024,200,true,true,false,false,false,false,80,true,true,true,false,false,true,true,true,false,,
/services/split-system-air-conditioning-sydney/,820x1180,200,true,true,false,false,false,false,80,true,true,true,false,false,true,true,true,false,,
/services/split-system-air-conditioning-sydney/,1024x768,200,true,true,false,false,false,false,80,true,true,true,false,false,true,true,true,false,,
/services/split-system-air-conditioning-sydney/,1366x768,200,true,true,false,false,false,false,80,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\services-split-system-air-conditioning-sydney-1366x768.png
/services/split-system-air-conditioning-sydney/,1440x900,200,true,true,false,false,false,false,80,true,true,true,false,false,true,true,true,false,,
/services/split-system-air-conditioning-sydney/,1920x1080,200,true,true,false,false,false,false,80,true,true,true,false,false,true,true,true,false,,
/service-areas/,360x800,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/service-areas/,390x844,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\service-areas-390x844.png
/service-areas/,412x915,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/service-areas/,430x932,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
/service-areas/,768x1024,200,true,true,false,false,false,false,50,true,true,true,false,false,true,true,true,false,,
