browser,page,viewport,viewportType,httpStatus,cssLoaded,logoVisible,headerFits,callNowVisible,callNowClipped,getQuoteVisible,getQuoteClipped,navVisible,navClipped,menuVisible,menuClipped,noHorizontalScroll,marqueeFits,heroContentSafe,heroImageSafe,cardsDoNotClip,stickyCtaOk,footerReadable,scrollWidth,clientWidth,h1Text,screenshot,result,notes
Chromium,/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Emergency electrical fault? Call now — 0461 247 247,reports/header-responsive-screenshots/chromium-home-1024x768-key.png,PASS,
Chromium,/emergency-electrician-sydney/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Emergency electrical fault? Call now — 0461 247 247,,PASS,
Chromium,/level-2-electrician-sydney/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Level 2 Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Electrical Services Sydney & Surrounding Regions,,PASS,
Chromium,/services/consumer-mains-sydney/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Consumer Mains Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/defect-notice-repairs-sydney/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Electrical Defect Notice Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/point-of-attachment-repairs-sydney/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Point of Attachment Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/switchboard-upgrades-sydney/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Switchboard Upgrades Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Electricians Across Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Electrician Panania 2213,,PASS,
Chromium,/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Electrician Coogee 2034,,PASS,
Chromium,/privacy-policy/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Privacy Policy,,PASS,
Chromium,/terms/,1024x768,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1024,1024,Terms of Use,,PASS,
Chromium,/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Emergency electrical fault? Call now — 0461 247 247,,PASS,
Chromium,/emergency-electrician-sydney/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Emergency electrical fault? Call now — 0461 247 247,,PASS,
Chromium,/level-2-electrician-sydney/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Level 2 Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Electrical Services Sydney & Surrounding Regions,,PASS,
Chromium,/services/consumer-mains-sydney/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Consumer Mains Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/defect-notice-repairs-sydney/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Electrical Defect Notice Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/point-of-attachment-repairs-sydney/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Point of Attachment Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/switchboard-upgrades-sydney/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Switchboard Upgrades Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Electricians Across Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Electrician Panania 2213,,PASS,
Chromium,/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Electrician Coogee 2034,,PASS,
Chromium,/privacy-policy/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Privacy Policy,,PASS,
Chromium,/terms/,1180x820,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1180,1180,Terms of Use,,PASS,
Chromium,/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Emergency electrical fault? Call now — 0461 247 247,,PASS,
Chromium,/emergency-electrician-sydney/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Emergency electrical fault? Call now — 0461 247 247,,PASS,
Chromium,/level-2-electrician-sydney/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Level 2 Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Electrical Services Sydney & Surrounding Regions,,PASS,
Chromium,/services/consumer-mains-sydney/,1280x720,desktop/laptop,200,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,1280,1280,Consumer Mains Electrician Sydney & Surrounding Regions,,PASS,
