source,href,target,type,status,result,notes
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/,https://c0d312.github.io/evaready-electrical/,internal,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/,https://c0d312.github.io/evaready-electrical/,internal,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/_next/static/chunks/008_ypn8x28s~.css,https://c0d312.github.io/evaready-electrical/_next/static/chunks/008_ypn8x28s~.css,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/_next/static/chunks/03~yq9q893hmn.js,https://c0d312.github.io/evaready-electrical/_next/static/chunks/03~yq9q893hmn.js,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/_next/static/chunks/0d3shmwh5_nmn.js,https://c0d312.github.io/evaready-electrical/_next/static/chunks/0d3shmwh5_nmn.js,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/_next/static/chunks/0m_p1bxtorv5i.js,https://c0d312.github.io/evaready-electrical/_next/static/chunks/0m_p1bxtorv5i.js,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/_next/static/chunks/0o~zs.oqstzl5.js,https://c0d312.github.io/evaready-electrical/_next/static/chunks/0o~zs.oqstzl5.js,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/_next/static/chunks/0rsne526mb78l.js,https://c0d312.github.io/evaready-electrical/_next/static/chunks/0rsne526mb78l.js,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/_next/static/chunks/0v3.q0g69l7p9.js,https://c0d312.github.io/evaready-electrical/_next/static/chunks/0v3.q0g69l7p9.js,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/_next/static/chunks/0v3.q0g69l7p9.js,https://c0d312.github.io/evaready-electrical/_next/static/chunks/0v3.q0g69l7p9.js,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/_next/static/chunks/0yozxosm9gr4y.js,https://c0d312.github.io/evaready-electrical/_next/static/chunks/0yozxosm9gr4y.js,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/_next/static/chunks/turbopack-07u1.dqdd8aj2.js,https://c0d312.github.io/evaready-electrical/_next/static/chunks/turbopack-07u1.dqdd8aj2.js,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/apple-icon.png,https://c0d312.github.io/evaready-electrical/apple-icon.png,asset,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/electrical-faults/,https://c0d312.github.io/evaready-electrical/electrical-faults/,internal,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/electrical-faults/,https://c0d312.github.io/evaready-electrical/electrical-faults/,internal,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/electrical-faults/burning-smell-from-switchboard/,https://c0d312.github.io/evaready-electrical/electrical-faults/burning-smell-from-switchboard/,internal,200,PASS,
https://c0d312.github.io/evaready-electrical/_not-found/,/evaready-electrical/electrical-faults/no-power-to-house/,https://c0d312.github.io/evaready-electrical/electrical-faults/no-power-to-house/,internal,200,PASS,
