route,suburb,postcode,area,region,response_classification,visible_word_count,raw_html_bytes,exact_shared_visible_block_word_rate_percent,locality_normalised_repeated_block_word_rate_percent,unique_factual_blocks,crawl_depth_from_home,inbound_internal_links,outbound_internal_links_in_main,cta_count,call_available,quote_available,approved_job_evidence,approved_local_photo,verified_testimonial,different_completed_service_information,evidence_basis,indexation_recommendation
/service-areas/blue-mountains/blue-mountains/berambing/,Berambing,2758,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252970,58.68,100.00,19,2,22,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/blaxland/,Blaxland,2774,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252859,58.68,100.00,19,2,22,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/bullaburra/,Bullaburra,2784,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,253094,58.68,100.00,19,2,22,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/faulconbridge/,Faulconbridge,2776,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,253427,58.68,100.00,19,2,22,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/glenbrook/,Glenbrook,2773,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252970,58.68,98.74,19,2,22,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/hawkesbury-heights/,Hawkesbury Heights,2777,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,914,253995,57.25,100.00,19,2,22,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/hazelbrook/,Hazelbrook,2779,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,253094,58.68,100.00,19,2,22,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/katoomba/,Katoomba,2780,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252919,58.68,100.00,19,2,22,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/lapstone/,Lapstone,2773,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252859,58.68,98.74,19,2,10,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/lawson/,Lawson,2783,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252627,58.68,100.00,19,2,2,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/leura/,Leura,2780,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252511,58.68,98.74,19,2,2,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/linden/,Linden,2778,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252627,58.68,100.00,19,2,2,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/mount-riverview/,Mount Riverview,2774,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,915,253684,57.30,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/springwood/,Springwood,2777,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,253014,58.68,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/sun-valley/,Sun Valley,2777,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,915,253104,57.30,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/valley-heights/,Valley Heights,2777,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,915,253568,57.30,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/warrimoo/,Warrimoo,2774,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252859,58.68,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/wentworth-falls/,Wentworth Falls,2782,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,915,253684,57.30,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/winmalee/,Winmalee,2777,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252859,58.68,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/woodford/,Woodford,2778,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,894,252859,58.68,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/blue-mountains/blue-mountains/yellow-rock/,Yellow Rock,2777,Blue Mountains,Blue Mountains,selected outer-region 60-90-minute estimate,915,253220,57.30,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bankstown/,Bankstown,2200,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254764,58.47,100.00,19,2,37,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bass-hill/,Bass Hill,2197,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,913,254716,57.04,100.00,19,2,36,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belfield/,Belfield,2191,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254617,58.47,100.00,19,2,36,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belmore/,Belmore,2192,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254506,58.47,100.00,19,2,36,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/beverly-hills/,Beverly Hills,2209,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,913,255220,57.04,100.00,19,2,36,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/birrong/,Birrong,2143,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254506,58.47,100.00,19,2,10,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/campsie/,Campsie,2194,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254506,58.47,100.00,19,2,2,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/canterbury/,Canterbury,2193,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254854,58.47,100.00,19,2,2,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/chester-hill/,Chester Hill,2162,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,255086,57.09,100.00,19,2,2,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/clemton-park/,Clemton Park,2206,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,255086,57.09,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/condell-park/,Condell Park,2200,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,255086,57.09,98.74,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/earlwood/,Earlwood,2206,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254670,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/east-hills/,East Hills,2213,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,254842,57.09,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/georges-hall/,Georges Hall,2198,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,255074,57.09,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/greenacre/,Greenacre,2190,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254738,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/kingsgrove/,Kingsgrove,2208,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254854,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lakemba/,Lakemba,2195,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254506,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lansdowne/,Lansdowne,2163,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254786,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/milperra/,Milperra,2214,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254622,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/mount-lewis/,Mount Lewis,2190,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,254970,57.09,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/narwee/,Narwee,2209,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254390,58.47,98.61,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow-heights/,Padstow Heights,2211,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,255469,57.09,98.74,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow/,Padstow,2211,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254566,58.47,100.00,19,2,36,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania,2213,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254584,58.47,100.00,19,2,37,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/picnic-point/,Picnic Point,2213,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,255134,57.09,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/potts-hill/,Potts Hill,2143,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,254854,57.09,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/punchbowl/,Punchbowl,2196,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254738,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby-heights/,Revesby Heights,2212,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,255409,57.09,98.74,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby/,Revesby,2212,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254602,58.47,100.00,19,2,37,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/riverwood/,Riverwood,2210,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254738,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/roselands/,Roselands,2196,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254738,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/sefton/,Sefton,2162,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254378,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/villawood/,Villawood,2163,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254738,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/wiley-park/,Wiley Park,2195,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,914,254854,57.09,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/yagoona/,Yagoona,2199,Canterbury-Bankstown,Canterbury-Bankstown & Inner South West,core 60-minute target,893,254506,58.47,100.00,19,3,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/alison/,Alison,2259,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,904,252863,58.79,100.00,19,3,38,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/bar-point/,Bar Point,2083,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,924,253149,57.37,100.00,19,3,38,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/blackwall/,Blackwall,2256,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,904,253209,58.79,100.00,19,3,38,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/calga/,Calga,2250,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,904,252692,58.79,100.00,19,3,38,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/central-mangrove/,Central Mangrove,2250,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,924,253999,57.37,100.00,19,3,38,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/cheero-point/,Cheero Point,2083,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,924,253542,57.37,100.00,19,3,38,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/cogra-bay/,Cogra Bay,2083,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,924,253209,57.37,100.00,19,3,38,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/east-gosford/,East Gosford,2250,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,924,253494,57.37,100.00,19,3,10,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/erina/,Erina,2250,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,903,252669,58.74,100.00,19,3,2,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/gosford/,Gosford,2250,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,904,252836,58.79,98.62,19,2,39,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/green-point/,Green Point,2251,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,924,253426,57.37,100.00,19,3,2,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/horsfield-bay/,Horsfield Bay,2256,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,924,253671,57.37,100.00,19,3,2,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/kangy-angy/,Kangy Angy,2258,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,924,253262,57.37,100.00,19,4,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/kariong/,Kariong,2250,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,903,252901,58.74,100.00,19,4,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/koolewong/,Koolewong,2256,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,903,253194,58.74,100.00,19,4,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/mardi/,Mardi,2259,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,903,252657,58.74,100.00,19,4,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/marlow/,Marlow,2775,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,903,252773,58.74,100.00,19,4,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/mooney-mooney-creek/,Mooney Mooney Creek,2250,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,945,254307,56.06,100.00,19,4,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
/service-areas/central-coast-south/central-coast/mooney-mooney/,Mooney Mooney,2083,Central Coast,Central Coast South,selected outer-region 60-90-minute estimate,924,253671,57.37,100.00,19,4,1,21,4,true,true,false,false,false,false,coverage dataset only,Owner review: retain; monitor and prioritise genuine evidence
