phase,profile,route,routeLabel,runs,lighthouseVersion,performanceScore,accessibilityScore,bestPracticesScore,seoScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,domElements,rawHtmlBytes,gzipHtmlBytes,brotliHtmlBytes,cssResourceBytes,cssTransferBytes,jsResourceBytes,jsTransferBytes,imageResourceBytes,imageTransferBytes,totalResourceBytes,totalTransferBytes,requestCount,consoleErrorScore,lcpElement,lcpResourceUrl,ttfbMs,resourceLoadDelayMs,resourceLoadDurationMs,elementRenderDelayMs,observedLcpMs,observedTtfbMs,observedResourceLoadDelayMs,observedResourceLoadDurationMs,observedElementRenderDelayMs,firstPartyFailureCount,thirdPartyFailureCount,consoleErrorCount,cliCleanupWarnings
after-7eb698544b2,mobile,/,Homepage,3,13.4.1,82,100,100,100,1357,4882,0,3,1357,981,235598,30175,21637,481287,61514,540200,155187,538624,541097,1904921,797130,29,1,body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,875,3099,98,3.4,5.1,9,80,0,0,0,3
after-7eb698544b2,mobile,/services/,Services,3,13.4.1,82,100,100,100,1357,4882,0,5,1357,1507,428850,42544,29095,481287,61514,540200,155187,538624,541097,2098173,804588,29,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,760,3215,113,4.1,5.7,8.4,99.3,0,0,0,3
after-7eb698544b2,mobile,/service-areas/,Service Areas,3,13.4.1,83,100,100,100,1208,4658,0,5,1208,1077,305994,31996,23068,481287,61514,546616,157683,472596,474161,1915705,734121,26,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,775,2975,104,3.6,5.5,8.3,87.1,0,0,0,3
after-7eb698544b2,mobile,/emergency-electrician-sydney/,Emergency Electrician Sydney,3,13.4.1,81,100,100,100,1507,5032,0,4,1507,1239,335133,38072,25245,495827,64124,540200,155187,538624,541097,2018996,803348,30,1,body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,594,3531,113,3.8,5.3,4.2,99.7,0,0,0,3
after-7eb698544b2,mobile,/level-2-electrician-sydney/,Level 2 Electrician Sydney,3,13.4.1,84,100,100,100,1358,4583,0,6,1358,1187,291229,32308,21980,481287,61514,540200,155187,472596,474161,1894524,730537,25,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,733,2943,107,3.4,5.3,8.3,90.6,0,0,0,3
after-7eb698544b2,mobile,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,3,13.4.1,82,100,100,100,1357,4883,0,4,1357,1275,310615,34775,24055,481287,61514,540200,155187,538624,541097,1979938,799548,29,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,798,3186,109,3.6,5.3,9,90.8,0,0,0,3
after-7eb698544b2,mobile,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,3,13.4.1,83,100,100,100,1358,4588,0,7,1358,880,201616,24421,18116,481287,61514,540200,155187,514442,516234,1887779,776528,29,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero,,454,1050,1318,1853,108,3.1,20.2,7.5,77.8,0,0,0,3
after-7eb698544b2,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,3,13.4.1,83,100,100,100,1208,4658,0,5,1208,914,241954,27808,19977,481287,61514,546616,157683,472596,474161,1938435,741714,29,1,section.brand-internal-hero > div.ev-hero-grid > div.internal-hero-copy-panel > h1.text-3xl,,454,0,0,4204,95,3.4,0,0,91.7,0,0,0,3
after-7eb698544b2,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,3,13.4.1,83,100,100,100,1357,4658,0,5,1357,1260,312648,30098,20613,481287,61514,546616,157683,472596,474161,2072781,751535,32,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,814,2936,95,3.4,5.5,8.2,82.2,0,0,0,3
after-7eb698544b2,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,3,13.4.1,84,100,100,100,1358,4583,0,6,1358,1037,256070,28329,20004,481287,61514,546616,157683,472596,474161,2110459,760425,35,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,593,3082,98,3.3,5.2,3.7,85,0,0,0,3
after-7eb698544b2,desktop,/,Homepage,3,13.4.1,96,93,100,100,327,1387,0,0,327,981,235598,30175,21637,495827,64124,546616,157683,1054688,1057391,3235110,1419897,59,1,body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image,,123,123,144,997,150,3.3,3.5,8.6,133.8,0,0,0,3
after-7eb698544b2,desktop,/services/,Services,3,13.4.1,96,93,100,100,327,1387,0,0,327,1507,428850,42544,29095,495827,64124,546616,157683,1054688,1057391,3428362,1427355,59,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,123,123,138,1003,163,4,3.9,8.7,149.4,0,0,0,3
after-7eb698544b2,desktop,/service-areas/,Service Areas,3,13.4.1,96,93,100,100,327,1346,0,0,327,1077,305994,31996,23068,495827,64124,546616,157683,988660,990455,3239478,1354392,55,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,139,957,154,3.4,3.6,8.8,138.5,0,0,0,3
