phase,profile,route,routeLabel,runs,lighthouseVersion,performanceScore,accessibilityScore,bestPracticesScore,seoScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,domElements,rawHtmlBytes,gzipHtmlBytes,brotliHtmlBytes,cssResourceBytes,cssTransferBytes,jsResourceBytes,jsTransferBytes,imageResourceBytes,imageTransferBytes,totalResourceBytes,totalTransferBytes,requestCount,consoleErrorScore,lcpElement,lcpResourceUrl,ttfbMs,resourceLoadDelayMs,resourceLoadDurationMs,elementRenderDelayMs,observedLcpMs,observedTtfbMs,observedResourceLoadDelayMs,observedResourceLoadDurationMs,observedElementRenderDelayMs,firstPartyFailureCount,thirdPartyFailureCount,consoleErrorCount,cliCleanupWarnings
baseline-a3c20bb,mobile,/,Homepage,3,13.4.1,82,100,77,100,1359,4884,0,9,1359,949,234327,30131,21576,481266,61517,961299,305335,538708,541225,2324818,947400,35,1,body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image,http://127.0.0.1:4182/evaready-electrical/images/performance/evaready-service-van-768.webp,454,460,645,3362,99,3.7,4.8,4.2,86.2,0,0,0,0
baseline-a3c20bb,mobile,/services/,Services,3,13.4.1,81,100,77,100,1358,5108,0,9,1358,1442,426160,42512,29060,481266,61517,961361,305344,538708,541225,2516713,954893,35,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4182/evaready-electrical/images/performance/evaready-service-van-768.webp,454,472,634,3527,110,4.2,5.5,4,95.6,0,0,0,0
baseline-a3c20bb,mobile,/service-areas/,Service Areas,3,13.4.1,82,100,77,100,1361,4885,0,15,1361,1041,304551,31985,22984,481266,61517,967765,307832,472680,474289,2335480,884369,32,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4182/evaready-electrical/images/performance/evaready-service-van-768.webp,455,456,635,3252,107,4,5.4,4.5,93.2,0,0,0,0
baseline-a3c20bb,mobile,/emergency-electrician-sydney/,Emergency Electrician Sydney,3,13.4.1,81,100,77,100,1508,5108,0,12,1508,1198,333475,37964,25133,495806,64127,961358,305330,538708,541225,2438565,953562,36,1,body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image,http://127.0.0.1:4182/evaready-electrical/images/performance/evaready-service-van-768.webp,454,460,623,3546,122,4.5,5.6,4.4,107.9,0,0,0,0
baseline-a3c20bb,mobile,/level-2-electrician-sydney/,Level 2 Electrician Sydney,3,13.4.1,82,100,77,100,1359,4810,0,10,1359,1153,289872,32228,21907,481266,61517,961341,305341,472680,474289,2314377,880801,31,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4182/evaready-electrical/images/performance/evaready-service-van-768.webp,455,455,608,3292,107,4.1,5.3,4.3,93.2,0,0,0,0
baseline-a3c20bb,mobile,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,3,13.4.1,81,100,77,100,1358,5108,0,9,1358,1235,309000,34713,23937,481266,61517,961345,305332,538708,541225,2399537,949758,35,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4182/evaready-electrical/images/performance/evaready-service-van-768.webp,454,455,639,3558,106,4,5.1,4.2,93.1,0,0,0,0
baseline-a3c20bb,mobile,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,3,13.4.1,83,100,73,100,1211,4661,0,14,1211,854,200603,24420,18076,481266,61517,961426,305363,514526,516362,2267986,920125,35,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero,,455,1179,1444,1643,108,3.6,20.4,9.3,75,2,0,1,0
baseline-a3c20bb,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,3,13.4.1,82,100,73,100,1359,4884,0,12,1359,878,240511,27783,19929,481266,61517,967833,307851,472680,474289,2272906,882455,35,0,section.brand-internal-hero > div.ev-hero-grid > div.internal-hero-copy-panel > h1.text-3xl,,455,0,0,4430,92,3.6,0,0,88.2,2,0,1,0
baseline-a3c20bb,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,3,13.4.1,83,100,73,100,1358,4658,0,8,1358,1218,310947,30023,20515,481266,61517,967877,307853,472680,474289,2344929,884228,38,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4182/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,623,3134,95,3.6,4.9,3.9,82.7,4,0,2,0
baseline-a3c20bb,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,3,13.4.1,84,100,73,100,1210,4584,0,12,1210,1000,254584,28289,19961,481266,61517,961505,305375,472680,474289,2283859,882389,40,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4182/evaready-electrical/images/performance/evaready-service-van-768.webp,455,455,592,3083,97,3.5,4.8,3.9,84.8,6,0,3,0
baseline-a3c20bb,desktop,/,Homepage,3,13.4.1,96,93,73,100,327,1387,0,0,327,949,234327,30131,21576,495806,64127,961277,305317,1054772,1057519,2868390,1476521,64,0,body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image,,123,123,123,1017,149,3.8,3.2,5.5,136.3,18,0,9,0
baseline-a3c20bb,desktop,/services/,Services,3,13.4.1,96,93,73,100,327,1387,0,0,327,1442,426160,42512,29060,495806,64127,961359,305340,1054772,1057519,3060305,1484028,64,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,124,1016,163,4.5,3.8,5.4,149.5,18,0,9,0
baseline-a3c20bb,desktop,/service-areas/,Service Areas,3,13.4.1,96,93,73,100,327,1347,0,0,327,1041,304551,31985,22984,495806,64127,967707,307822,988744,990583,2879016,1413498,61,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,124,975,154,4,3.4,5.2,141.6,18,0,9,0
baseline-a3c20bb,desktop,/emergency-electrician-sydney/,Emergency Electrician Sydney,3,13.4.1,96,93,73,100,367,1387,0,0,367,1198,333475,37964,25133,495806,64127,961281,305314,1054772,1057519,2967542,1480075,64,0,body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image,,124,124,124,1016,167,3.9,3.4,5.2,154.9,18,0,9,0
baseline-a3c20bb,desktop,/level-2-electrician-sydney/,Level 2 Electrician Sydney,3,13.4.1,97,93,73,100,327,1307,0,0,327,1153,289872,32228,21907,495806,64127,961323,305330,988744,990583,2857953,1409929,60,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,124,936,160,3.6,3.2,5.4,147.4,18,0,9,0
baseline-a3c20bb,desktop,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,3,13.4.1,96,93,73,100,327,1387,0,0,327,1235,309000,34713,23937,495806,64127,961338,305333,1054772,1057519,2943124,1478898,64,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,124,1016,165,4.2,3.2,5.4,152.5,18,0,9,0
baseline-a3c20bb,desktop,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,3,13.4.1,96,93,73,100,327,1430,0,0,327,854,200603,24420,18076,495806,64127,961409,305369,988744,990583,2769717,1407197,63,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero,,123,212,255,840,174,3.8,20.8,8.7,143,20,0,10,0
baseline-a3c20bb,desktop,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,3,13.4.1,96,93,73,100,328,1348,0,0,328,878,240511,27783,19929,495806,64127,967809,307849,988744,990583,2815078,1410470,61,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,124,976,154,3.3,3.1,5.2,142.7,18,0,9,0
baseline-a3c20bb,desktop,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,3,13.4.1,96,93,73,100,327,1347,0,0,327,1218,310947,30023,20515,495806,64127,967871,307863,988744,990583,2887119,1412255,64,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,123,123,123,978,157,3.7,3.3,5.2,144.1,20,0,10,0
baseline-a3c20bb,desktop,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,3,13.4.1,97,93,73,100,327,1307,0,0,327,1000,254584,28289,19961,495806,64127,961461,305370,988744,990583,2826011,1410401,66,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,123,123,123,938,152,3.4,3.1,5.7,139.9,22,0,11,0
