profile,route,routeLabel,performanceBefore,performanceAfter,performanceDelta,lcpBeforeMs,lcpAfterMs,lcpDeltaMs,clsBefore,clsAfter,tbtBeforeMs,tbtAfterMs,transferBeforeBytes,transferAfterBytes,transferSavedBytes,imageTransferBeforeBytes,imageTransferAfterBytes,cssTransferBeforeBytes,cssTransferAfterBytes,jsTransferBeforeBytes,jsTransferAfterBytes,requestCountBefore,requestCountAfter,lcpElementAfter,lcpResourceAfter,ttfbAfterMs,resourceLoadDelayAfterMs,resourceLoadDurationAfterMs,elementRenderDelayAfterMs,observedLcpAfterMs,firstPartyFailuresAfter,consoleErrorsAfter
mobile,/,Homepage,82,82,0,4884,4882,-2,0,0,9,3,947400,797130,150270,541225,541097,61517,61514,305335,155187,35,29,body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,875,3099,98,0,0
mobile,/services/,Services,81,82,1,5108,4882,-226,0,0,9,5,954893,804588,150305,541225,541097,61517,61514,305344,155187,35,29,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,760,3215,113,0,0
mobile,/service-areas/,Service Areas,82,83,1,4885,4658,-227,0,0,15,5,884369,734121,150248,474289,474161,61517,61514,307832,157683,32,26,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,775,2975,104,0,0
mobile,/emergency-electrician-sydney/,Emergency Electrician Sydney,81,81,0,5108,5032,-76,0,0,12,4,953562,803348,150214,541225,541097,64127,64124,305330,155187,36,30,body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,594,3531,113,0,0
mobile,/level-2-electrician-sydney/,Level 2 Electrician Sydney,82,84,2,4810,4583,-227,0,0,10,6,880801,730537,150264,474289,474161,61517,61514,305341,155187,31,25,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,733,2943,107,0,0
mobile,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,81,82,1,5108,4883,-225,0,0,9,4,949758,799548,150210,541225,541097,61517,61514,305332,155187,35,29,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,798,3186,109,0,0
mobile,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,83,83,0,4661,4588,-73,0,0,14,7,920125,776528,143597,516362,516234,61517,61514,305363,155187,35,29,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero,,454,1050,1318,1853,108,0,0
mobile,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,82,83,1,4884,4658,-226,0,0,12,5,882455,741714,140741,474289,474161,61517,61514,307851,157683,35,29,section.brand-internal-hero > div.ev-hero-grid > div.internal-hero-copy-panel > h1.text-3xl,,454,0,0,4204,95,0,0
mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,83,83,0,4658,4658,0,0,0,8,5,884228,751535,132693,474289,474161,61517,61514,307853,157683,38,32,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,814,2936,95,0,0
mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,84,84,0,4584,4583,-1,0,0,12,6,882389,760425,121964,474289,474161,61517,61514,305375,157683,40,35,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,http://127.0.0.1:4184/evaready-electrical/images/performance/evaready-service-van-768.webp,454,454,593,3082,98,0,0
