route,page type,viewport,html exists yes/no,title,h1,body word count,main content visible yes/no,h1 visible yes/no,phone CTA visible yes/no,quote CTA visible yes/no,sticky CTA visible yes/no,sticky CTA overlaps content yes/no,horizontal overflow yes/no,header overlaps hero yes/no,marquee clipped yes/no,hero image visible yes/no,trust cards clipped yes/no,quote process cards clipped yes/no,Google review/rating block visible and styled yes/no,footer visible above sticky CTA yes/no,invisible important text warning,clipped important card warning,notes
/,homepage,360x800,yes,Emergency Electrician & Level 2 Electrician Sydney,Emergency & Level 2 Electrician Sydney,1470,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
/_not-found,other,360x800,yes,Emergency & Level 2 Electrician Sydney & Surrounding Regions,We could not find that Evaready Electrical page.,260,yes,yes,n/a,n/a,yes,no,no,no,no,n/a,no,no,n/a,yes,,,
/404,other,360x800,yes,Emergency & Level 2 Electrician Sydney & Surrounding Regions,We could not find that Evaready Electrical page.,260,yes,yes,n/a,n/a,yes,no,no,no,no,n/a,no,no,n/a,yes,,,
/404.html,other,360x800,yes,Emergency & Level 2 Electrician Sydney & Surrounding Regions,We could not find that Evaready Electrical page.,260,yes,yes,n/a,n/a,yes,no,no,no,no,n/a,no,no,n/a,yes,,,
/about,about page,360x800,yes,About Evaready Electrical | Sydney Electrician,About Evaready Electrical,639,yes,yes,n/a,n/a,yes,no,no,no,no,n/a,no,no,yes,yes,,,
/contact,contact page,360x800,yes,Contact Evaready Electrical | Sydney Electrician,Contact Evaready Electrical,478,yes,yes,n/a,n/a,yes,no,no,no,no,n/a,no,no,n/a,yes,,,
/electrical-faults,fault index,360x800,yes,Electrical Faults Sydney & Surrounding Regions,Electrical Faults Sydney & Surrounding Regions,956,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/burning-smell-from-outlet,fault guide,360x800,yes,Burning Smell From Outlet Sydney & Surrounding Regions,Burning Smell From Outlet,683,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/burning-smell-from-switchboard,fault guide,360x800,yes,Burning Smell From Switchboard Sydney & Surrounding Regions,Burning Smell From Switchboard,664,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/circuit-breaker-keeps-tripping,fault guide,360x800,yes,Circuit Breaker Keeps Tripping Sydney & Surrounding Regions,Circuit Breaker Keeps Tripping,637,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/electric-shock-from-outlet,fault guide,360x800,yes,Electric Shock From Outlet Sydney & Surrounding Regions,Electric Shock From Outlet,673,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/hot-power-point,fault guide,360x800,yes,Hot Power Point Sydney & Surrounding Regions,Hot Power Point,639,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/lights-flickering,fault guide,360x800,yes,Lights Flickering Sydney & Surrounding Regions,Lights Flickering,645,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/no-power-in-one-room,fault guide,360x800,yes,No Power In One Room Sydney & Surrounding Regions,No Power In One Room,667,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/no-power-to-house,fault guide,360x800,yes,No Power To House Sydney & Surrounding Regions,No Power To House,706,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/power-outage-after-storm,fault guide,360x800,yes,Power Outage After Storm Sydney & Surrounding Regions,Power Outage After Storm,659,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/power-point-sparking,fault guide,360x800,yes,Power Point Sparking Sydney & Surrounding Regions,Power Point Sparking,643,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/power-surge-damage,fault guide,360x800,yes,Power Surge Damage Sydney & Surrounding Regions,Power Surge Damage,635,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/rcd-trips-when-raining,fault guide,360x800,yes,RCD Trips When Raining Sydney & Surrounding Regions,RCD Trips When Raining,655,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/safety-switch-keeps-tripping,fault guide,360x800,yes,Safety Switch Keeps Tripping Sydney & Surrounding Regions,Safety Switch Keeps Tripping,671,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/safety-switch-trips-at-night,fault guide,360x800,yes,Safety Switch Trips At Night Sydney & Surrounding Regions,Safety Switch Trips At Night,667,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/electrical-faults/smoke-from-electrical-panel,fault guide,360x800,yes,Smoke From Electrical Panel Sydney & Surrounding Regions,Smoke From Electrical Panel,662,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,n/a,yes,,,
/emergency-electrician-sydney,emergency page,360x800,yes,Emergency Electrician Sydney | 60-Min Response,Emergency Electrician Sydney and Surrounding Regions,2385,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,,,
