file,type,raw bytes,gzip bytes,route or asset group,over 500 KB yes/no,over 1 MB yes/no,duplicate content hash yes/no,optimisation recommendation,notes
images/evaready-electrical-sydney-service-van.png,image,2675270,2661694,public image,yes,yes,no,serious size review; consider smaller source or modern format if visual quality is preserved,
services/index.html,html,709595,61592,route html,yes,no,no,size review; review repeated visible copy/schema/data on this static route,
service-areas/index.html,html,628357,61213,route html,yes,no,no,size review; review repeated visible copy/schema/data on this static route,
service-areas/__next._full.txt,rsc/text,400567,41299,next route payload,no,no,yes,duplicate content hash detected,Next static export route payload
service-areas/index.txt,rsc/text,400567,41299,rsc/text,no,no,yes,duplicate content hash detected,
service-areas/wollongong-and-illawarra/shellharbour/shellharbour-city-centre/index.html,html,398719,45806,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/great-mackerel-beach/index.html,html,397333,45770,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/allambie-heights/index.html,html,397061,45765,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/waverley/bondi-junction/index.html,html,396387,46014,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/albion-park-rail/index.html,html,396307,45929,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/north-macquarie/index.html,html,396290,45948,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/shellharbour/index.html,html,396144,45431,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/barrack-heights/index.html,html,396085,45742,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/west-wollongong/index.html,html,396059,45177,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/mount-saint-thomas/index.html,html,396040,45296,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/scotland-island/index.html,html,395757,45328,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/collaroy-plateau/index.html,html,395714,45611,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/cordeaux-heights/index.html,html,395712,45321,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/ku-ring-gai-chase/index.html,html,395658,45667,route html,no,no,no,ok,
emergency-electrician-sydney/index.html,html,395594,45582,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/brookvale/index.html,html,395579,46165,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/coasters-retreat/index.html,html,395563,45028,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/lake-illawarra/index.html,html,395537,45839,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/wheeler-heights/index.html,html,395489,45581,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/parramatta/sydney-olympic-park/index.html,html,395478,45827,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/parramatta/north-parramatta/index.html,html,395470,45716,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/mount-warrigal/index.html,html,395465,45201,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/stanwell-park/index.html,html,395406,44990,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/mooney-mooney-creek/index.html,html,395387,45821,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/bilgola-plateau/index.html,html,395298,45117,route html,no,no,no,ok,
service-areas/inner-west-burwood-and-canada-bay/inner-west/marrickville/index.html,html,395288,45878,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/balgowlah-heights/index.html,html,395214,45800,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/cottage-point/index.html,html,395204,45099,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/austinmer/index.html,html,395145,45102,route html,no,no,no,ok,
service-areas/blue-mountains/blue-mountains/wentworth-falls/index.html,html,395119,45724,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/north-wollongong/index.html,html,395103,45023,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/farmborough-heights/index.html,html,395101,45068,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/darkes-forest/index.html,html,395076,45040,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/elanora-heights/index.html,html,395012,45102,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/killarney-heights/index.html,html,394963,45515,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/cheero-point/index.html,html,394950,45252,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/marshall-mount/index.html,html,394924,44968,route html,no,no,no,ok,
service-areas/inner-west-burwood-and-canada-bay/strathfield/strathfield-south/index.html,html,394888,45693,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/wendoree-park/index.html,html,394884,45369,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/terrey-hills/index.html,html,394876,45439,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/minnamurra-and-kiama-downs/kiama-downs/index.html,html,394851,45015,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/frenchs-forest/index.html,html,394845,45239,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/mount-pleasant/index.html,html,394838,44778,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/point-frederick/index.html,html,394802,45035,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/sydney/surry-hills/index.html,html,394795,46092,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/springfield/index.html,html,394791,45266,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/coniston/index.html,html,394744,44974,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/north-gosford/index.html,html,394736,45302,route html,no,no,no,ok,
