phase,profile,route,routeLabel,runs,lighthouseVersion,performanceScore,accessibilityScore,bestPracticesScore,seoScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,domElements,rawHtmlBytes,gzipHtmlBytes,brotliHtmlBytes,cssResourceBytes,cssTransferBytes,jsResourceBytes,jsTransferBytes,imageResourceBytes,imageTransferBytes,totalResourceBytes,totalTransferBytes,requestCount,consoleErrorScore,lcpElement,cliCleanupWarnings
after,mobile,/,Homepage,3,13.4.1,82,100,96,100,1270,4882,0,4,1270,949,234327,30134,21577,481062,61485,540200,155187,538624,541097,1903431,797028,29,0,body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image,3
after,mobile,/services/,Services,3,13.4.1,81,100,96,100,1358,5108,0,6,1358,1442,426160,42516,29066,481062,61485,540200,155187,538624,541097,2095264,804517,29,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,3
after,mobile,/service-areas/,Service Areas,3,13.4.1,82,100,96,100,1360,4885,0,9,1360,1041,304551,31990,22993,481062,61485,546616,157683,472596,474161,1914043,734004,26,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,3
after,mobile,/emergency-electrician-sydney/,Emergency Electrician Sydney,3,13.4.1,81,100,96,100,1507,5032,0,5,1507,1198,333475,37968,25135,495602,64095,540200,155187,538624,541097,2017119,803196,30,0,body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image,3
after,mobile,/level-2-electrician-sydney/,Level 2 Electrician Sydney,3,13.4.1,84,100,96,100,1360,4585,0,5,1360,1153,289872,32233,21907,481062,61485,540200,155187,472596,474161,1892948,730422,25,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,3
after,mobile,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,3,13.4.1,82,100,96,100,1357,4882,0,6,1357,1235,309000,34715,23938,481062,61485,540200,155187,538624,541097,1978104,799389,29,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,3
after,mobile,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,3,13.4.1,83,100,96,100,1208,4658,0,10,1208,854,200603,24423,18078,481062,61485,540200,155187,514442,516234,1846472,769721,29,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero,3
after,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,3,13.4.1,83,100,96,100,1358,4659,0,5,1358,878,240511,27786,19932,481062,61485,546616,157683,472596,474161,1851401,732064,29,0,section.brand-internal-hero > div.ev-hero-grid > div.internal-hero-copy-panel > h1.text-3xl,3
after,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,3,13.4.1,83,100,96,100,1358,4658,0,4,1358,1218,310947,30028,20518,481062,61485,546616,157683,472596,474161,1923380,733834,32,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,3
after,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,3,13.4.1,84,100,96,100,1358,4583,0,4,1358,1000,254584,28294,19961,481062,61485,540200,155187,472596,474161,1862266,731972,34,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,3
