phase,profile,route,routeLabel,runs,lighthouseVersion,performanceScore,accessibilityScore,bestPracticesScore,seoScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,domElements,rawHtmlBytes,gzipHtmlBytes,brotliHtmlBytes,cssResourceBytes,cssTransferBytes,jsResourceBytes,jsTransferBytes,imageResourceBytes,imageTransferBytes,totalResourceBytes,totalTransferBytes,requestCount,consoleErrorScore,lcpElement,cliCleanupWarnings
baseline,mobile,/,Homepage,3,13.4.1,80,100,96,100,1359,5410,0,9,1359,941,230122,29757,21373,480678,61430,540200,155187,671724,674197,2029987,929666,29,0,,3
baseline,mobile,/services/,Services,3,13.4.1,80,100,96,100,1357,5408,0,4,1357,1434,421955,42107,28814,480678,61430,540200,155187,671724,674197,2221820,937107,29,0,,3
baseline,mobile,/service-areas/,Service Areas,3,13.4.1,82,95,96,100,1209,4809,0,7,1209,1041,304589,32000,22997,480678,61430,546607,157679,472596,474161,1911733,733746,26,0,,3
baseline,mobile,/emergency-electrician-sydney/,Emergency Electrician Sydney,3,13.4.1,80,100,96,100,1508,5333,0,3,1508,1190,329270,37558,24940,495218,64040,540200,155187,671724,674197,2143675,935843,30,0,,3
baseline,mobile,/level-2-electrician-sydney/,Level 2 Electrician Sydney,3,13.4.1,84,100,96,100,1359,4584,0,5,1359,1153,289872,32232,21907,480678,61430,540200,155187,472596,474161,1890609,730164,25,0,,3
baseline,mobile,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,3,13.4.1,80,100,96,100,1357,5408,0,3,1357,1227,304795,34335,23763,480678,61430,540200,155187,671724,674197,2104660,932056,29,0,,3
baseline,mobile,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,3,13.4.1,78,100,96,100,1358,5862,0,8,1358,854,199853,24280,17965,480678,61430,540200,155187,758038,759831,2086979,1012947,29,0,,3
baseline,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,3,13.4.1,82,95,96,100,1359,4809,0,8,1359,878,240550,27798,19944,480678,61430,546607,157679,472596,474161,1849092,731812,29,0,,3
baseline,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,3,13.4.1,82,95,96,100,1359,4810,0,7,1359,1218,310987,30039,20528,480678,61430,546607,157679,472596,474161,1921072,733577,32,0,,3
baseline,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,3,13.4.1,83,100,96,100,1359,4734,0,7,1359,1000,254584,28292,19961,480678,61430,540200,155187,472596,474161,1859927,731707,34,0,,3
baseline,desktop,/,Homepage,3,13.4.1,96,93,96,100,326,1446,0,0,326,941,230122,29757,21373,495218,64040,540200,155187,1187788,1190491,2573581,1458784,58,0,,3
baseline,desktop,/services/,Services,3,13.4.1,96,93,96,100,328,1448,0,0,328,1434,421955,42107,28814,495218,64040,540200,155187,1187788,1190491,2765414,1466225,58,0,,3
baseline,desktop,/service-areas/,Service Areas,3,13.4.1,96,88,96,100,327,1347,0,0,331,1041,304589,32000,22997,495218,64040,546607,157679,988660,990455,2455327,1262864,55,0,,3
baseline,desktop,/emergency-electrician-sydney/,Emergency Electrician Sydney,3,13.4.1,96,93,96,100,367,1447,0,0,367,1190,329270,37558,24940,495218,64040,540200,155187,1187788,1190491,2672729,1462351,58,0,,3
baseline,desktop,/level-2-electrician-sydney/,Level 2 Electrician Sydney,3,13.4.1,97,93,96,100,327,1307,0,0,327,1153,289872,32232,21907,495218,64040,540200,155187,988660,990455,2434203,1259282,54,0,,3
baseline,desktop,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,3,13.4.1,96,93,96,100,327,1447,0,0,331,1227,304795,34335,23763,495218,64040,540200,155187,1187788,1190491,2648254,1461174,58,0,,3
baseline,desktop,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,3,13.4.1,96,93,96,100,327,1371,0,0,327,854,199853,24280,17965,495218,64040,540200,155187,988660,990455,2345131,1256395,57,0,,3
baseline,desktop,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,3,13.4.1,96,88,96,100,327,1347,0,0,327,878,240550,27798,19944,495218,64040,546607,157679,988660,990455,2391288,1259811,55,0,,3
baseline,desktop,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,3,13.4.1,96,88,96,100,327,1347,0,0,327,1218,310987,30039,20528,495218,64040,546607,157679,988660,990455,2463268,1261576,58,0,,3
baseline,desktop,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,3,13.4.1,97,93,96,100,327,1307,0,0,327,1000,254584,28292,19961,495218,64040,540200,155187,988660,990455,2402123,1259706,60,0,,3
