phase,profile,route,routeLabel,runs,lighthouseVersion,performanceScore,accessibilityScore,bestPracticesScore,seoScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,domElements,rawHtmlBytes,gzipHtmlBytes,brotliHtmlBytes,cssResourceBytes,cssTransferBytes,jsResourceBytes,jsTransferBytes,imageResourceBytes,imageTransferBytes,totalResourceBytes,totalTransferBytes,requestCount,consoleErrorScore,lcpElement,cliCleanupWarnings
final-a404,mobile,/,Homepage,3,13.4.1,81,100,77,100,1209,5109,0,8,1209,949,234327,30128,21575,481266,61517,961302,305325,538708,541225,2324821,947389,35,1,body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image,0
final-a404,mobile,/services/,Services,3,13.4.1,81,100,77,100,1356,5033,0,10,1356,1442,426160,42510,29058,481266,61517,961369,305339,538708,541225,2516721,954886,35,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,mobile,/service-areas/,Service Areas,3,13.4.1,82,100,77,100,1359,4810,0,9,1359,1041,304551,31982,22983,481266,61517,967757,307839,472680,474289,2335472,884375,32,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,mobile,/emergency-electrician-sydney/,Emergency Electrician Sydney,3,13.4.1,81,100,77,100,1507,5032,0,8,1507,1198,333475,37963,25132,495806,64127,961311,305328,538708,541225,2438518,953559,36,1,body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image,0
final-a404,mobile,/level-2-electrician-sydney/,Level 2 Electrician Sydney,3,13.4.1,84,100,77,100,1359,4585,0,8,1359,1153,289872,32226,21906,481266,61517,961389,305351,472680,474289,2314425,880810,31,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,mobile,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,3,13.4.1,81,100,77,100,1357,5107,0,7,1357,1235,309000,34711,23935,481266,61517,961359,305338,538708,541225,2399551,949762,35,1,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,mobile,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,3,13.4.1,83,100,73,100,1357,4732,0,11,1357,854,200603,24418,18076,481266,61517,961399,305364,514526,516362,2267959,920123,35,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero,0
final-a404,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,3,13.4.1,83,100,73,100,1356,4658,0,9,1356,878,240511,27781,19929,481266,61517,967845,307863,472680,474289,2272918,882465,35,0,section.brand-internal-hero > div.ev-hero-grid > div.internal-hero-copy-panel > h1.text-3xl,0
final-a404,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,3,13.4.1,83,100,73,100,1358,4658,0,10,1358,1218,310947,30021,20516,481266,61517,967965,307874,472680,474289,2345017,884246,38,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,mobile,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,3,13.4.1,84,100,73,100,1356,4582,0,8,1356,1000,254584,28287,19960,481266,61517,961495,305381,472680,474289,2283849,882387,40,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
