region,area,suburb,postcode,route,classification,expected minutes,actual visible minutes,html exists,mismatch,both 60 and 90 confusingly present,guarantee wording,office/depot wording,needs owner review
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Bankstown,2200,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bankstown,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Bass Hill,2197,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bass-hill,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Belfield,2191,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belfield,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Belmore,2192,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belmore,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Beverly Hills,2209,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/beverly-hills,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Birrong,2143,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/birrong,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Campsie,2194,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/campsie,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Canterbury,2193,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/canterbury,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Chester Hill,2162,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/chester-hill,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Clemton Park,2206,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/clemton-park,core,60,60,yes,no,no,no,no,no
