route,viewport,httpStatus,heroType,hasHero,expectedVan,vanPresent,heroWidth,heroHeight,beforeHasVan,beforeOpacity,beforeBackgroundSize,beforeBackgroundPosition,homeImageLoaded,overflowX,issue
/,desktop-1440,200,home,yes,yes,yes,1440,1260,no,1,auto,0% 0%,yes,no,
/,mobile-390,200,home,yes,yes,yes,390,1155,no,1,auto,0% 0%,yes,no,
/about,desktop-1440,200,internal,yes,yes,yes,1440,874,yes,1,cover,100% 50%,no,no,
/about,mobile-390,200,internal,yes,yes,yes,390,925,yes,1,contain,100% 0%,no,no,
/contact,desktop-1440,200,internal,yes,yes,yes,1440,726,yes,1,cover,100% 50%,no,no,
/contact,mobile-390,200,internal,yes,yes,yes,390,1145,yes,1,contain,100% 0%,no,no,
/electrical-faults,desktop-1440,200,internal,yes,yes,yes,1440,842,yes,1,cover,100% 50%,no,no,
/electrical-faults,mobile-390,200,internal,yes,yes,yes,390,1201,yes,1,contain,100% 0%,no,no,
/electrical-faults/burning-smell-from-outlet,desktop-1440,200,internal,yes,yes,yes,1440,630,yes,1,cover,100% 50%,no,no,
/electrical-faults/burning-smell-from-outlet,mobile-390,200,internal,yes,yes,yes,390,1075,yes,1,contain,100% 0%,no,no,
/electrical-faults/burning-smell-from-switchboard,desktop-1440,200,internal,yes,yes,yes,1440,720,yes,1,cover,100% 50%,no,no,
/electrical-faults/burning-smell-from-switchboard,mobile-390,200,internal,yes,yes,yes,390,1075,yes,1,contain,100% 0%,no,no,
/electrical-faults/circuit-breaker-keeps-tripping,desktop-1440,200,internal,yes,yes,yes,1440,630,yes,1,cover,100% 50%,no,no,
/electrical-faults/circuit-breaker-keeps-tripping,mobile-390,200,internal,yes,yes,yes,390,1015,yes,1,contain,100% 0%,no,no,
/electrical-faults/electric-shock-from-outlet,desktop-1440,200,internal,yes,yes,yes,1440,630,yes,1,cover,100% 50%,no,no,
/electrical-faults/electric-shock-from-outlet,mobile-390,200,internal,yes,yes,yes,390,1060,yes,1,contain,100% 0%,no,no,
/electrical-faults/hot-power-point,desktop-1440,200,internal,yes,yes,yes,1440,614,yes,1,cover,100% 50%,no,no,
/electrical-faults/hot-power-point,mobile-390,200,internal,yes,yes,yes,390,942,yes,1,contain,100% 0%,no,no,
/electrical-faults/lights-flickering,desktop-1440,200,internal,yes,yes,yes,1440,651,yes,1,cover,100% 50%,no,no,
/electrical-faults/lights-flickering,mobile-390,200,internal,yes,yes,yes,390,979,yes,1,contain,100% 0%,no,no,
/electrical-faults/no-power-in-one-room,desktop-1440,200,internal,yes,yes,yes,1440,630,yes,1,cover,100% 50%,no,no,
/electrical-faults/no-power-in-one-room,mobile-390,200,internal,yes,yes,yes,390,1015,yes,1,contain,100% 0%,no,no,
/electrical-faults/no-power-to-house,desktop-1440,200,internal,yes,yes,yes,1440,630,yes,1,cover,100% 50%,no,no,
/electrical-faults/no-power-to-house,mobile-390,200,internal,yes,yes,yes,390,1002,yes,1,contain,100% 0%,no,no,
/electrical-faults/power-outage-after-storm,desktop-1440,200,internal,yes,yes,yes,1440,630,yes,1,cover,100% 50%,no,no,
/electrical-faults/power-outage-after-storm,mobile-390,200,internal,yes,yes,yes,390,1015,yes,1,contain,100% 0%,no,no,
/electrical-faults/power-point-sparking,desktop-1440,200,internal,yes,yes,yes,1440,630,yes,1,cover,100% 50%,no,no,
/electrical-faults/power-point-sparking,mobile-390,200,internal,yes,yes,yes,390,1038,yes,1,contain,100% 0%,no,no,
/electrical-faults/power-surge-damage,desktop-1440,200,internal,yes,yes,yes,1440,689,yes,1,cover,100% 50%,no,no,
/electrical-faults/power-surge-damage,mobile-390,200,internal,yes,yes,yes,390,1128,yes,1,contain,100% 0%,no,no,
/electrical-faults/rcd-trips-when-raining,desktop-1440,200,internal,yes,yes,yes,1440,630,yes,1,cover,100% 50%,no,no,
/electrical-faults/rcd-trips-when-raining,mobile-390,200,internal,yes,yes,yes,390,1075,yes,1,contain,100% 0%,no,no,
/electrical-faults/safety-switch-keeps-tripping,desktop-1440,200,internal,yes,yes,yes,1440,651,yes,1,cover,100% 50%,no,no,
/electrical-faults/safety-switch-keeps-tripping,mobile-390,200,internal,yes,yes,yes,390,1113,yes,1,contain,100% 0%,no,no,
/electrical-faults/safety-switch-trips-at-night,desktop-1440,200,internal,yes,yes,yes,1440,689,yes,1,cover,100% 50%,no,no,
/electrical-faults/safety-switch-trips-at-night,mobile-390,200,internal,yes,yes,yes,390,1173,yes,1,contain,100% 0%,no,no,
/electrical-faults/smoke-from-electrical-panel,desktop-1440,200,internal,yes,yes,yes,1440,630,yes,1,cover,100% 50%,no,no,
/electrical-faults/smoke-from-electrical-panel,mobile-390,200,internal,yes,yes,yes,390,1060,yes,1,contain,100% 0%,no,no,
/emergency-electrician-sydney,desktop-1440,200,internal,yes,yes,yes,1440,1236,yes,1,cover,100% 50%,no,no,
/emergency-electrician-sydney,mobile-390,200,internal,yes,yes,yes,390,2067,yes,1,contain,100% 0%,no,no,
/level-2-electrician-sydney,desktop-1440,200,internal,yes,yes,yes,1440,1416,yes,1,cover,100% 50%,no,no,
/level-2-electrician-sydney,mobile-390,200,internal,yes,yes,yes,390,2613,yes,1,contain,100% 0%,no,no,
/privacy-policy,desktop-1440,200,none,no,no,no,0,0,no,,,,no,no,
/privacy-policy,mobile-390,200,none,no,no,no,0,0,no,,,,no,no,
/service-areas,desktop-1440,200,internal,yes,yes,yes,1440,1480,yes,1,cover,100% 50%,no,no,
/service-areas,mobile-390,200,internal,yes,yes,yes,390,2240,yes,1,contain,100% 0%,no,no,
/service-areas/blue-mountains,desktop-1440,200,internal,yes,yes,yes,1440,1188,yes,1,cover,100% 50%,no,no,
/service-areas/blue-mountains,mobile-390,200,internal,yes,yes,yes,390,1206,yes,1,contain,100% 0%,no,no,
/service-areas/blue-mountains/blue-mountains,desktop-1440,200,internal,yes,yes,yes,1440,950,yes,1,cover,100% 50%,no,no,
/service-areas/blue-mountains/blue-mountains,mobile-390,200,internal,yes,yes,yes,390,861,yes,1,contain,100% 0%,no,no,
/service-areas/blue-mountains/blue-mountains/berambing,desktop-1440,200,internal,yes,yes,yes,1440,1042,yes,1,cover,100% 50%,no,no,
/service-areas/blue-mountains/blue-mountains/berambing,mobile-390,200,internal,yes,yes,yes,390,1303,yes,1,contain,100% 0%,no,no,
/service-areas/blue-mountains/blue-mountains/blaxland,desktop-1440,200,internal,yes,yes,yes,1440,1070,yes,1,cover,100% 50%,no,no,
/service-areas/blue-mountains/blue-mountains/blaxland,mobile-390,200,internal,yes,yes,yes,390,1348,yes,1,contain,100% 0%,no,no,
