url,page type,title,h1,word count,suspicious text found,spelling/typo warnings,grammar/spacing warnings,stale phrase warnings,CTA wording warnings,compliance warnings,duplicate/repetition warnings,missing call-first warning,missing quote CTA warning,notes
https://c0d312.github.io/evaready-electrical,homepage,Emergency & Level 2 Electrician Sydney | 60-Min Response,Emergency & Level 2 Electrical Help in Sydney & Surrounding Regions,1741,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services,services index,Electrical Services Sydney & Surrounding Regions,Electrical Services Sydney & Surrounding Regions,2484,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/emergency-electrician-sydney,emergency page,Emergency Electrician Sydney | 60-Min Response,Emergency Electrician Sydney for Urgent Electrical Faults,2288,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults,fault index,Electrical Faults Sydney & Surrounding Regions,Electrical Faults Sydney & Surrounding Regions,913,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/level-2-electrician-sydney,level 2 page,Level 2 Electrician Sydney | Accredited ASP,"Level 2 Electrician Sydney for Mains, Defects & Supply Work",2364,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/switchboard-upgrades-sydney,service page,Switchboard Upgrades Sydney | Safety Switches,Switchboard Upgrades Sydney & Surrounding Regions,1689,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas,service-area index,Electrician Service Areas Sydney | Emergency & Level 2,Electricians Across Sydney & Surrounding Regions,1062,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/privacy-policy,privacy policy,Privacy Policy | Evaready Electrical,Privacy Policy,827,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/terms,terms,Terms | Evaready Electrical,Terms of Use,854,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/residential-electrician-sydney,service page,Residential Electrician Sydney | Home Electrical Help,Residential Electrician Sydney & Surrounding Regions,1384,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/commercial-electrician-sydney,service page,"Commercial Electrician Sydney | Shops, Strata & Offices",Commercial Electrician Sydney & Surrounding Regions,1360,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/electrical-fault-finding-sydney,service page,Electrical Fault Finding Sydney | Tripping & Power Faults,Electrical Fault Finding Sydney & Surrounding Regions,1450,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/lighting-electrician-sydney,service page,Lighting Electrician Sydney | LED & Outdoor Lighting,Lighting Electrician Sydney & Surrounding Regions,1329,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/power-point-installation-sydney,service page,Power Point Installation Sydney | Outlets & Repairs,Power Point Installation Sydney & Surrounding Regions,1361,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/smoke-alarm-electrician-sydney,service page,Smoke Alarm Electrician Sydney & Surrounding Regions,Smoke Alarm Electrician Sydney & Surrounding Regions,1332,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/ev-charger-installation-sydney,service page,EV Charger Installation Sydney | Home & Business Charging,EV Charger Installation Sydney & Surrounding Regions,1345,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/consumer-mains-sydney,service page,Consumer Mains Electrician Sydney | Level 2 Supply Work,Consumer Mains Electrician Sydney & Surrounding Regions,1623,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/defect-notice-repairs-sydney,service page,Electrical Defect Notice Repairs Sydney,Electrical Defect Notice Repairs Sydney & Surrounding Regions,1579,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/private-power-pole-sydney,service page,Private Power Pole Electrician Sydney,Private Power Pole Electrician Sydney & Surrounding Regions,1554,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/hot-water-system-electrician-sydney,service page,Hot Water Electrician Sydney | Circuits & Isolators,Hot Water System Electrician Sydney & Surrounding Regions,1468,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/split-system-air-conditioning-sydney,service page,Air Conditioning Electrician Sydney | AC Circuits,Air Conditioning Electrician Sydney & Surrounding Regions,1489,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/cctv-security-camera-installation-sydney,service page,CCTV Electrician Sydney | Cameras & Security Cabling,CCTV Electrician Sydney & Surrounding Regions,1383,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/data-cabling-electrician-sydney,service page,Data Cabling Electrician Sydney | Internet Points,Data Cabling Electrician Sydney & Surrounding Regions,1373,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/ceiling-fan-installation-sydney,service page,Ceiling Fan Installation Sydney & Surrounding Regions,Ceiling Fan Installation Sydney & Surrounding Regions,1336,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/safety-switch-rcd-installation-sydney,service page,Safety Switch Electrician Sydney | RCD & RCBO Help,Safety Switch Installation Sydney & Surrounding Regions,1351,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/three-phase-power-sydney,service page,3 Phase Power Electrician Sydney & Surrounding Regions,3 Phase Power Electrician Sydney & Surrounding Regions,1369,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/surge-protection-electrician-sydney,service page,Surge Protection Electrician Sydney | Switchboard SPDs,Surge Protection Electrician Sydney & Surrounding Regions,1335,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/appliance-installation-electrician-sydney,service page,Appliance Installation Electrician Sydney,Appliance Installation Electrician Sydney & Surrounding Regions,1327,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/rewiring-electrician-sydney,service page,Rewiring Electrician Sydney & Surrounding Regions,Rewiring Electrician Sydney & Surrounding Regions,1329,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/metering-services-sydney,service page,Metering Services Sydney & Surrounding Regions,Metering Services Electrician Sydney & Surrounding Regions,1579,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/new-build-renovation-electrician-sydney,service page,Renovation Electrician Sydney | New Builds & Fit-Offs,New Build & Renovation Electrician Sydney & Surrounding Regions,1389,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/electrical-testing-tagging-reports-sydney,service page,Electrical Testing & Tagging Sydney | Safety Reports,"Electrical Testing, Tagging & Reports Sydney & Surrounding Regions",1380,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/smart-home-electrician-sydney,service page,Smart Home Electrician Sydney & Surrounding Regions,Smart Home Electrician Sydney & Surrounding Regions,1375,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/tv-antenna-wall-cabling-sydney,service page,"TV, Antenna & Wall Cabling Sydney & Surrounding Regions","TV, Antenna & Wall Cabling Sydney & Surrounding Regions",1382,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/intercom-access-control-electrician-sydney,service page,Intercom & Access Control Electrician Sydney,Intercom & Access Control Electrician Sydney & Surrounding Regions,1372,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/storm-damage-electrician-sydney,service page,Storm Damage Electrician Sydney | Water-Affected Faults,Storm Damage Electrician Sydney & Surrounding Regions,1414,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/electrical-load-capacity-checks-sydney,service page,Electrical Load Capacity Checks Sydney,Electrical Load & Capacity Checks Sydney & Surrounding Regions,1624,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/point-of-attachment-repairs-sydney,service page,Point of Attachment Repairs Sydney | Level 2 Help,Point of Attachment Repairs Sydney & Surrounding Regions,1639,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/overhead-service-lines-sydney,service page,Overhead Service Lines Sydney | Level 2 Help,Overhead Service Lines Sydney & Surrounding Regions,1624,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/underground-service-mains-sydney,service page,Underground Service Mains Sydney | Level 2 Help,Underground Service Mains Sydney & Surrounding Regions,1601,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/disconnect-reconnect-electrician-sydney,service page,Disconnect Reconnect Electrician Sydney,Disconnect & Reconnect Electrician Sydney & Surrounding Regions,1624,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/electrical-safety-inspection-sydney,service page,Electrical Safety Inspection Sydney,Electrical Safety Inspection Sydney & Surrounding Regions,1383,,,,,,,,,,
